round,train_loss,val_loss,val_acc,val_f1
1,0.462998,0.581168,0.8145,0.754697
2,0.144638,0.43213,0.8655,0.837174
3,0.078731,0.528179,0.85,0.816826
4,0.057837,0.551511,0.8485,0.816935
5,0.044361,0.571107,0.848,0.817497
6,0.042524,0.531963,0.8625,0.837604
7,0.033483,0.563904,0.857,0.832374
8,0.032311,0.566174,0.8635,0.840259
9,0.029624,0.589663,0.8605,0.838442
10,0.02217,0.596493,0.8645,0.843907
11,0.021018,0.605863,0.8665,0.846392
12,0.022047,0.625673,0.8655,0.845316
13,0.019939,0.637081,0.865,0.845292
14,0.018742,0.640188,0.8655,0.84613
15,0.016698,0.644728,0.8655,0.84558
16,0.015941,0.656242,0.865,0.844968
17,0.015121,0.666455,0.8655,0.845664
18,0.019612,0.671481,0.868,0.847689
19,0.014764,0.677938,0.8705,0.851344
20,0.013032,0.693223,0.869,0.850098
21,0.012679,0.697162,0.8695,0.850028
22,0.02393,0.719772,0.867,0.844519
23,0.024378,0.72429,0.871,0.849178
24,0.012125,0.746415,0.8675,0.846759
25,0.009429,0.755011,0.8695,0.849281
26,0.018342,0.786614,0.8645,0.842842
27,0.028243,0.75735,0.869,0.849379
28,0.018922,0.725738,0.8745,0.855792
29,0.032944,0.686418,0.881,0.861199
30,0.02397,0.742709,0.8755,0.857564
31,0.011576,0.768256,0.871,0.852108
32,0.015586,0.800776,0.8685,0.850103
33,0.015068,0.806061,0.868,0.849567
34,0.010925,0.804872,0.867,0.847364
35,0.007552,0.794753,0.868,0.850045
36,0.034786,0.760977,0.87,0.850224
37,0.028198,0.734041,0.8815,0.863071
38,0.007765,0.7738,0.8745,0.855986
39,0.009651,0.770735,0.8745,0.856444
40,0.021755,0.612586,0.892,0.87492
41,0.018258,0.70132,0.881,0.863434
42,0.005895,0.721314,0.8785,0.86124
43,0.005793,0.732917,0.8775,0.860256
44,0.005586,0.742403,0.876,0.858525
45,0.005456,0.751824,0.8755,0.857786
46,0.005586,0.761068,0.8735,0.855546
47,0.010185,0.787461,0.873,0.855294
48,0.017582,0.906932,0.8625,0.841021
49,0.009026,0.84987,0.8665,0.845699
50,0.00713,0.842128,0.8685,0.847825
51,0.005333,0.834761,0.871,0.851392
52,0.005078,0.826849,0.873,0.853753
53,0.00497,0.830429,0.8725,0.853444
54,0.005787,0.839332,0.872,0.852789
55,0.006696,0.82867,0.872,0.852789
