round,train_loss,val_loss,val_acc,val_f1
1,0.678762,0.649109,0.79,0.637849
2,0.49695,0.487095,0.8175,0.716577
3,0.45759,0.449653,0.8375,0.759763
4,0.439662,0.430702,0.85,0.780019
5,0.428638,0.425197,0.8555,0.791468
6,0.420849,0.423509,0.8565,0.792209
7,0.414961,0.421406,0.8575,0.793213
8,0.410281,0.420631,0.859,0.797267
9,0.406439,0.418406,0.8595,0.799361
10,0.403184,0.415164,0.859,0.799183
11,0.400388,0.414197,0.8585,0.79933
12,0.397939,0.412042,0.8555,0.796377
13,0.395787,0.41095,0.855,0.797983
14,0.39388,0.409212,0.855,0.800714
15,0.392168,0.408551,0.8545,0.800269
16,0.390632,0.407674,0.8525,0.799427
17,0.389257,0.407636,0.8575,0.809897
18,0.388005,0.407778,0.86,0.815611
19,0.386872,0.407419,0.8625,0.820265
20,0.385842,0.407419,0.866,0.827068
21,0.384911,0.407912,0.867,0.829273
22,0.384057,0.408372,0.869,0.832604
23,0.383277,0.409013,0.8705,0.835609
24,0.382535,0.409405,0.874,0.841681
25,0.381866,0.410023,0.8765,0.845223
26,0.38123,0.410542,0.8775,0.846768
27,0.380645,0.411258,0.8815,0.852989
28,0.38009,0.412564,0.882,0.853923
29,0.37959,0.412932,0.883,0.855591
30,0.379102,0.413473,0.8825,0.855107
31,0.37865,0.412387,0.883,0.855789
32,0.378206,0.410714,0.882,0.854478
33,0.377793,0.409453,0.882,0.854176
34,0.377402,0.408078,0.8795,0.85051
35,0.377004,0.405615,0.878,0.848531
36,0.376644,0.402735,0.877,0.847201
37,0.376309,0.401691,0.8745,0.843113
38,0.375968,0.400012,0.8695,0.836124
39,0.375666,0.398885,0.867,0.832598
40,0.37536,0.398806,0.8655,0.830255
41,0.375056,0.398997,0.861,0.823779
42,0.37481,0.399839,0.859,0.820637
43,0.374551,0.401408,0.8555,0.815384
44,0.374296,0.403785,0.854,0.812732
45,0.374031,0.404026,0.854,0.812676
46,0.373734,0.404515,0.8565,0.816916
