round,train_loss,val_loss,val_acc,val_f1
1,0.612474,0.922136,0.676338,0.530141
2,0.467394,0.81609,0.686343,0.534041
3,0.447061,0.759162,0.731866,0.573403
4,0.434685,0.736219,0.746373,0.587137
5,0.425778,0.721731,0.754377,0.594469
6,0.418927,0.711735,0.75938,0.598539
7,0.413456,0.703997,0.76088,0.599726
8,0.409015,0.698223,0.762381,0.600913
9,0.405351,0.692944,0.764382,0.60282
10,0.402292,0.688919,0.764882,0.60338
11,0.399702,0.68475,0.764882,0.60338
12,0.39748,0.6821,0.766383,0.605343
13,0.395529,0.679403,0.766883,0.606474
14,0.393823,0.678128,0.765383,0.605685
15,0.392296,0.67732,0.764382,0.604911
16,0.390914,0.676236,0.762381,0.603057
17,0.389668,0.675708,0.762381,0.603057
18,0.388524,0.674941,0.76088,0.601582
19,0.387473,0.67507,0.75988,0.600915
20,0.386526,0.674576,0.75938,0.600367
21,0.38564,0.674382,0.75938,0.600613
22,0.384835,0.673832,0.75988,0.600979
23,0.384079,0.672921,0.761381,0.601983
24,0.383384,0.671905,0.763382,0.603685
25,0.382741,0.67159,0.762881,0.603074
26,0.382144,0.670138,0.763882,0.604203
27,0.381572,0.669254,0.763382,0.60384
28,0.38104,0.667975,0.763382,0.60384
