round,train_loss,val_loss,val_acc,val_f1
1,0.450173,0.772702,0.701351,0.568509
2,0.140406,0.788757,0.745373,0.647106
3,0.073987,0.811726,0.764382,0.675914
4,0.053306,0.842092,0.776888,0.698174
5,0.044376,0.849866,0.786893,0.714379
6,0.039339,0.875557,0.792896,0.72232
7,0.035415,0.899205,0.794897,0.725606
8,0.031189,0.924925,0.794897,0.727677
9,0.030269,0.939714,0.795398,0.729875
10,0.02749,0.971464,0.796398,0.730183
11,0.03267,0.99255,0.795898,0.730541
12,0.029737,1.024309,0.795398,0.725859
13,0.026119,1.022676,0.796398,0.730499
14,0.022377,1.013382,0.797899,0.733174
15,0.022252,1.023671,0.798399,0.734183
16,0.03138,1.025288,0.794397,0.728844
17,0.018879,1.048823,0.797399,0.731541
18,0.014532,1.077411,0.798399,0.733813
19,0.013329,1.092705,0.8004,0.735734
20,0.012215,1.113447,0.7999,0.733805
21,0.01185,1.126434,0.8004,0.735778
22,0.013596,1.142926,0.8004,0.73528
23,0.029317,1.391964,0.782391,0.70056
24,0.019739,1.250504,0.793897,0.718229
25,0.021949,1.218591,0.7994,0.729788
26,0.020492,1.236295,0.8009,0.733513
27,0.013973,1.236555,0.804902,0.736898
28,0.013139,1.230462,0.805903,0.739939
29,0.008935,1.225313,0.805403,0.740122
30,0.02828,1.179635,0.805403,0.742111
31,0.009678,1.172553,0.806403,0.746238
32,0.009781,1.190073,0.807404,0.747338
33,0.006866,1.202394,0.808904,0.749604
34,0.007043,1.217504,0.809905,0.750657
35,0.010297,1.253894,0.806403,0.744838
36,0.009958,1.279347,0.805403,0.742196
37,0.015708,1.287057,0.806903,0.740385
38,0.011856,1.268236,0.803902,0.739784
39,0.009122,1.289526,0.804402,0.740717
40,0.007376,1.283515,0.805403,0.742762
41,0.005911,1.296593,0.805403,0.743209
42,0.005761,1.302099,0.805903,0.744545
43,0.005393,1.309932,0.805903,0.744507
44,0.005194,1.318125,0.805403,0.743711
45,0.005151,1.327213,0.805403,0.743302
46,0.005,1.331162,0.803902,0.741227
47,0.004967,1.335369,0.804402,0.741979
48,0.004903,1.342244,0.804402,0.742182
49,0.004817,1.347809,0.804402,0.742182
