round,train_loss,val_loss,val_acc,val_f1
1,0.629577,0.90619,0.65933,0.486916
2,0.492278,0.764905,0.702351,0.529787
3,0.463854,0.717816,0.729865,0.612379
4,0.447008,0.69524,0.738869,0.638986
5,0.435568,0.680098,0.735868,0.64109
6,0.427442,0.668931,0.733867,0.640765
7,0.421344,0.66064,0.736368,0.64544
8,0.416524,0.654678,0.737369,0.648037
9,0.412562,0.649128,0.741871,0.657167
10,0.409226,0.64443,0.741371,0.658995
11,0.406354,0.641479,0.742871,0.662658
12,0.403837,0.638746,0.746373,0.670099
13,0.401612,0.636234,0.746373,0.671033
14,0.399633,0.633101,0.750375,0.678019
15,0.397863,0.631592,0.751876,0.680711
16,0.396271,0.630279,0.753877,0.684437
17,0.394824,0.628628,0.754877,0.686937
18,0.393502,0.627435,0.75938,0.694014
19,0.392299,0.626658,0.75938,0.696533
20,0.39119,0.626082,0.761381,0.699987
21,0.390147,0.627765,0.76038,0.69994
22,0.389184,0.627749,0.763382,0.704103
23,0.38828,0.627723,0.761881,0.702469
24,0.387438,0.628193,0.761381,0.702649
25,0.386671,0.629135,0.762881,0.705479
26,0.385954,0.630552,0.764882,0.708498
27,0.385285,0.629969,0.766383,0.71152
28,0.384666,0.629095,0.767384,0.713305
29,0.384087,0.629126,0.767384,0.713646
30,0.383542,0.629413,0.768384,0.715296
31,0.383025,0.628681,0.769385,0.716574
32,0.382533,0.62751,0.771386,0.718999
33,0.382071,0.626224,0.771886,0.719463
34,0.381629,0.624387,0.772886,0.720837
35,0.381199,0.622324,0.774387,0.722136
36,0.38081,0.618356,0.775888,0.723418
37,0.380432,0.615371,0.77939,0.726694
38,0.380065,0.611694,0.77989,0.726686
39,0.379726,0.60624,0.781891,0.729025
40,0.379393,0.60112,0.782391,0.729553
41,0.379063,0.596669,0.783392,0.730511
42,0.378748,0.591092,0.785393,0.731809
43,0.378437,0.585542,0.788394,0.734412
44,0.37814,0.580125,0.792396,0.737546
45,0.377845,0.575254,0.792396,0.737379
46,0.377555,0.570203,0.794897,0.739514
47,0.377256,0.566592,0.795898,0.74074
48,0.37698,0.563955,0.797899,0.742784
49,0.376709,0.561634,0.7994,0.744782
50,0.376446,0.559933,0.8004,0.745755
51,0.376174,0.56071,0.7999,0.745387
52,0.375916,0.562729,0.7999,0.746357
53,0.375648,0.568789,0.8004,0.747878
54,0.375361,0.576975,0.8004,0.749951
55,0.375088,0.587715,0.798399,0.749087
56,0.374825,0.602134,0.794397,0.747581
57,0.374605,0.618893,0.792396,0.747568
58,0.374444,0.636425,0.788394,0.745844
59,0.374324,0.652987,0.785393,0.743612
60,0.374226,0.664178,0.78039,0.740061
61,0.374126,0.667768,0.781391,0.741435
62,0.374003,0.664635,0.781891,0.741852
63,0.373895,0.656534,0.786393,0.745907
64,0.373819,0.64384,0.786893,0.74353
65,0.373814,0.634275,0.788894,0.743345
66,0.373756,0.626016,0.784392,0.736133
67,0.373665,0.621871,0.781391,0.731457
68,0.373516,0.61684,0.782391,0.731147
69,0.373278,0.612838,0.781891,0.730329
