round,train_loss,val_loss,val_acc,val_f1
1,0.757258,0.676948,0.777892,0.654731
2,0.504116,0.396644,0.840328,0.782283
3,0.444746,0.31032,0.892016,0.865263
4,0.425376,0.287699,0.904299,0.883103
5,0.415312,0.279528,0.91044,0.891234
6,0.408817,0.275731,0.914023,0.896372
7,0.404192,0.272598,0.916581,0.9001
8,0.400695,0.270354,0.918628,0.902701
9,0.397944,0.268411,0.91914,0.903691
10,0.395665,0.266746,0.921699,0.907539
11,0.393754,0.26489,0.92477,0.91158
12,0.392103,0.26344,0.925281,0.912464
13,0.390657,0.262047,0.926305,0.914302
14,0.389368,0.261746,0.925281,0.913036
15,0.388222,0.261102,0.923234,0.911136
16,0.387169,0.261253,0.922723,0.9105
17,0.386221,0.261155,0.922211,0.910012
18,0.385338,0.260808,0.920676,0.908134
19,0.384524,0.260654,0.920676,0.908384
20,0.383755,0.260498,0.920676,0.908539
21,0.383045,0.260607,0.919652,0.907418
22,0.382381,0.260689,0.918628,0.906138
23,0.381757,0.260394,0.917605,0.905015
24,0.381162,0.260559,0.917605,0.905015
25,0.380593,0.260611,0.917093,0.904764
26,0.38006,0.260096,0.915558,0.90282
27,0.379542,0.26008,0.915046,0.902169
28,0.379068,0.25982,0.915558,0.902881
