round,train_loss,val_loss,val_acc,val_f1
1,0.63415,0.748577,0.759,0.585333
2,0.493486,0.568037,0.7915,0.619726
3,0.465497,0.522981,0.805,0.665134
4,0.448954,0.494725,0.817,0.718652
5,0.437404,0.475255,0.8465,0.786774
6,0.428911,0.46192,0.8675,0.830058
7,0.422392,0.45434,0.877,0.845555
8,0.417249,0.451299,0.88,0.852664
9,0.413086,0.449278,0.883,0.858166
10,0.409617,0.450155,0.8835,0.859475
11,0.40665,0.450828,0.882,0.8575
12,0.404068,0.452877,0.8835,0.859365
13,0.4018,0.454594,0.8805,0.856355
14,0.399775,0.456191,0.881,0.858808
15,0.397971,0.457989,0.88,0.857661
16,0.396356,0.45969,0.877,0.854209
17,0.394888,0.459449,0.8745,0.851283
18,0.393555,0.460861,0.874,0.85091
19,0.392349,0.460231,0.874,0.850904
20,0.391244,0.460452,0.873,0.849743
21,0.390251,0.459705,0.8725,0.849563
22,0.389329,0.458524,0.871,0.847829
23,0.388481,0.457315,0.871,0.847648
24,0.387698,0.454447,0.8725,0.849528
25,0.386962,0.453116,0.8735,0.850653
