round,train_loss,val_loss,val_acc,val_f1
1,0.319272,0.777748,0.716991,0.453497
2,0.13787,0.7105,0.793245,0.5999
3,0.117057,0.705766,0.801433,0.611822
4,0.098368,0.700351,0.801945,0.61234
5,0.084569,0.674422,0.805527,0.617239
6,0.072444,0.651048,0.807062,0.619291
7,0.066882,0.625047,0.811668,0.628902
8,0.059742,0.602961,0.816786,0.638994
9,0.053527,0.58861,0.819345,0.651938
10,0.048236,0.578861,0.820368,0.656344
11,0.046352,0.572112,0.821392,0.660681
12,0.04247,0.572869,0.817298,0.655216
13,0.040081,0.56736,0.819857,0.660107
14,0.05118,0.560533,0.820368,0.659326
15,0.036275,0.555018,0.822416,0.6635
16,0.035934,0.540056,0.82651,0.668839
17,0.03308,0.544764,0.827021,0.670966
18,0.038845,0.53905,0.829069,0.673595
19,0.034662,0.544322,0.827533,0.671626
20,0.032657,0.544855,0.828557,0.674395
21,0.028153,0.546757,0.82651,0.671752
22,0.031347,0.552053,0.82651,0.671752
23,0.032661,0.550092,0.827533,0.673077
24,0.034898,0.543611,0.828557,0.674395
25,0.027793,0.545026,0.828557,0.675832
26,0.033221,0.520424,0.83828,0.688061
27,0.028816,0.508426,0.841351,0.693266
28,0.029117,0.506661,0.840328,0.693433
29,0.03027,0.515149,0.839304,0.692177
30,0.030147,0.511057,0.842375,0.698762
31,0.037608,0.50623,0.845445,0.701057
32,0.024701,0.502256,0.848516,0.711659
33,0.03142,0.507726,0.848004,0.711046
34,0.02783,0.492143,0.851075,0.718715
35,0.024578,0.496749,0.850051,0.717493
36,0.026122,0.491469,0.851075,0.720022
37,0.026338,0.481578,0.854145,0.726246
38,0.020924,0.478996,0.854657,0.726851
39,0.030623,0.463334,0.859775,0.732846
40,0.022571,0.462367,0.86131,0.734612
41,0.017715,0.444802,0.862334,0.735783
42,0.020313,0.447159,0.860287,0.733413
43,0.023955,0.452487,0.85824,0.732326
44,0.021675,0.459559,0.857216,0.731132
45,0.023189,0.450291,0.860798,0.734001
46,0.036569,0.460519,0.859263,0.730933
47,0.027429,0.477633,0.855681,0.717317
48,0.028086,0.471875,0.859263,0.728291
49,0.017559,0.457968,0.862845,0.738892
50,0.018346,0.443144,0.864893,0.742495
51,0.022109,0.458602,0.862845,0.738892
52,0.020379,0.45864,0.859775,0.736611
53,0.037365,0.479162,0.854145,0.724936
54,0.03591,0.435769,0.87001,0.741729
55,0.03236,0.453807,0.871546,0.746087
56,0.029645,0.445754,0.873593,0.749687
57,0.024371,0.422937,0.874104,0.750189
58,0.012427,0.421642,0.873593,0.75224
59,0.004391,0.423759,0.874104,0.754112
60,0.004447,0.419891,0.874104,0.755355
61,0.004358,0.414523,0.875128,0.757764
62,0.004573,0.410317,0.87564,0.758323
63,0.004298,0.406968,0.876151,0.761331
64,0.004688,0.405238,0.877175,0.763646
65,0.004563,0.398237,0.877687,0.766599
66,0.024165,0.409221,0.876663,0.762976
67,0.003803,0.402947,0.877175,0.765963
68,0.003727,0.404399,0.877175,0.765963
69,0.034193,0.417241,0.875128,0.768198
70,0.009311,0.414318,0.876663,0.769935
71,0.022901,0.406013,0.882293,0.779548
72,0.004013,0.42185,0.874104,0.76603
73,0.003888,0.412921,0.876663,0.771101
74,0.003923,0.410506,0.876151,0.770508
75,0.034622,0.410842,0.878199,0.764811
76,0.004767,0.430544,0.872569,0.75507
77,0.021945,0.447804,0.868475,0.749304
78,0.006491,0.437357,0.871034,0.757051
79,0.021671,0.431447,0.870522,0.755298
80,0.003772,0.448513,0.868987,0.753654
81,0.003853,0.439443,0.87001,0.754773
82,0.003528,0.433932,0.87001,0.754773
83,0.003377,0.429152,0.872569,0.761179
84,0.003334,0.423015,0.874616,0.764595
85,0.003299,0.422652,0.875128,0.766302
86,0.003284,0.423127,0.87564,0.767997
