alpha,fold,val_f1,accuracy,macro_precision,macro_recall,macro_f1
0.1,1,0.738354,0.8662167526796348,0.8675300739113493,0.7783312085211611,0.804798075539897
0.1,2,0.779548,0.8781262405716554,0.8933806341533008,0.7790316686202492,0.7964266264392501
0.1,3,0.61122,0.7951568082572449,0.7977856452354781,0.6352666698360326,0.6301234559158787
0.1,4,0.739802,0.8455736403334657,0.8103509166765085,0.7838290965860348,0.7873543082868764
0.1,5,0.786082,0.8713775307661771,0.8524515969620894,0.7672428717273398,0.7884031106265676
0.3,1,0.711107,0.8261214767764986,0.8076837109552268,0.711484335106112,0.7364630909128631
0.3,2,0.907802,0.8082572449384676,0.7764744579222802,0.7987360632870739,0.7677810588395116
0.3,3,0.781492,0.8126240571655419,0.7912456737035418,0.8185262726084144,0.7783278282957651
0.3,4,0.782815,0.8594680428741565,0.81418997513651,0.8427984474700123,0.8249795124112268
0.3,5,0.821212,0.8257244938467646,0.789688205148965,0.8239754096351062,0.793438418127639
0.5,1,0.722331,0.8356490670901151,0.8537619632940912,0.7069490020748538,0.725794844929438
0.5,2,0.911466,0.8753473600635173,0.8376629860088076,0.89007097818783,0.8512702961472558
0.5,3,0.784724,0.7705438666137356,0.7485039968647729,0.7607105909888948,0.7291737360821952
0.5,4,0.829275,0.8483525208416038,0.8141548036081483,0.8449233835716716,0.8143126429967432
0.5,5,0.835208,0.8451766574037316,0.8105411798760999,0.8470571186276382,0.8155227501526837
0.7,1,0.784482,0.8781262405716554,0.8524525774826444,0.8708554823271433,0.8484714643614072
0.7,2,0.865686,0.8951965065502183,0.8693053638166626,0.8850617601928166,0.8758075302582309
0.7,3,0.801432,0.7979356887653831,0.7852528409084122,0.7889112393292642,0.7609913907334427
0.7,4,0.796337,0.8936085748312823,0.8574792132050405,0.8992540436626612,0.872909375457547
0.7,5,0.856795,0.9023421992854307,0.8965736835378985,0.8388121775146407,0.8596487945025505
1.0,1,0.750657,0.850734418420008,0.8235743674643758,0.8236358349907471,0.8147105114320524
1.0,2,0.846268,0.8816990869392616,0.8701927859356335,0.8586026209179918,0.8617864027393796
1.0,3,0.776353,0.8273124255657007,0.7960772164070011,0.7938506270223316,0.7839095881915875
1.0,4,0.843846,0.9043271139341008,0.8792349490367494,0.8793707614643858,0.8779692752887174
1.0,5,0.87492,0.9011512504962287,0.8750305645970438,0.8929177547851176,0.8819760312267053
