round,train_loss,val_loss,val_acc,val_f1
1,0.344085,0.755522,0.746873,0.544443
2,0.163321,0.716998,0.775388,0.656067
3,0.124317,0.751518,0.788894,0.702379
4,0.102852,0.771685,0.791396,0.711107
5,0.089525,0.775107,0.783392,0.70233
6,0.072522,0.783314,0.775888,0.694653
7,0.063802,0.788324,0.772386,0.691249
8,0.05705,0.788815,0.769885,0.689599
9,0.051184,0.792797,0.767384,0.686993
10,0.049235,0.79211,0.765883,0.687311
11,0.04351,0.795939,0.764882,0.687378
12,0.037806,0.800786,0.761381,0.683449
13,0.034761,0.805801,0.758379,0.679337
14,0.033438,0.804995,0.755378,0.677997
15,0.029321,0.812358,0.753377,0.67662
16,0.031584,0.819112,0.752876,0.676004
17,0.025806,0.818164,0.751876,0.675685
18,0.031219,0.80762,0.750875,0.673874
19,0.023679,0.817576,0.748874,0.672218
