round,train_loss,val_loss,val_acc,val_f1
1,0.584599,0.874597,0.665316,0.432281
2,0.460243,0.825418,0.677975,0.478783
3,0.440802,0.777865,0.706329,0.523808
4,0.429415,0.76212,0.721519,0.541388
5,0.421255,0.751195,0.719494,0.539771
6,0.415001,0.743477,0.725063,0.545252
7,0.409997,0.736193,0.72962,0.550105
8,0.405902,0.730258,0.732658,0.554316
9,0.402459,0.725164,0.73519,0.557262
10,0.399515,0.719349,0.738228,0.561002
11,0.396979,0.714767,0.736709,0.559797
12,0.394787,0.709431,0.738734,0.561995
13,0.392897,0.704012,0.739241,0.562795
14,0.3912,0.699474,0.738734,0.562975
15,0.389704,0.695012,0.739747,0.564358
16,0.388357,0.691006,0.743291,0.56811
17,0.387141,0.687234,0.742785,0.567535
18,0.386041,0.683257,0.745316,0.570625
19,0.385042,0.67978,0.747342,0.57333
20,0.38414,0.677647,0.748861,0.57446
21,0.383283,0.674702,0.75038,0.576111
22,0.382486,0.672524,0.749873,0.575492
23,0.381759,0.670575,0.752405,0.578348
24,0.381066,0.668668,0.754937,0.581232
25,0.380441,0.667272,0.755443,0.581954
26,0.379848,0.665141,0.755443,0.581861
27,0.379292,0.663651,0.756962,0.583352
28,0.378769,0.662177,0.757468,0.583866
29,0.378276,0.661292,0.758481,0.584806
30,0.377806,0.660645,0.758987,0.585223
31,0.37736,0.659844,0.761013,0.587644
32,0.376937,0.659155,0.762025,0.589232
33,0.376537,0.659019,0.762025,0.589232
34,0.376169,0.658746,0.763038,0.590259
35,0.375824,0.658625,0.763544,0.590504
36,0.375429,0.65821,0.76557,0.592398
37,0.375069,0.659264,0.766582,0.593417
38,0.3747,0.659396,0.767595,0.594189
39,0.374368,0.65971,0.767595,0.594291
40,0.374049,0.661601,0.768101,0.594649
41,0.373754,0.663291,0.76962,0.595929
42,0.373512,0.664787,0.768608,0.594732
43,0.373303,0.666427,0.76962,0.594911
44,0.373117,0.668485,0.769114,0.593784
45,0.372948,0.669613,0.770633,0.595279
46,0.372783,0.670997,0.76962,0.593112
47,0.372649,0.67274,0.769114,0.592201
48,0.37249,0.673441,0.768101,0.590163
49,0.372367,0.675748,0.767089,0.588539
50,0.37235,0.681786,0.762532,0.582268
51,0.372599,0.692104,0.757975,0.574601
52,0.373302,0.666096,0.772152,0.59283
53,0.373094,0.642381,0.785316,0.611551
54,0.372339,0.671577,0.782785,0.618108
55,0.375451,0.670715,0.796456,0.623832
56,0.382928,0.684221,0.792911,0.617074
57,0.382264,0.680442,0.796456,0.620851
58,0.376961,0.676421,0.8,0.625672
59,0.374153,0.673093,0.796456,0.623531
60,0.372384,0.671484,0.796456,0.623901
61,0.37124,0.671124,0.793924,0.621687
62,0.370452,0.669986,0.793418,0.621283
63,0.369832,0.669275,0.788861,0.617417
64,0.369391,0.666731,0.787848,0.616419
65,0.369199,0.662591,0.787342,0.615707
66,0.369099,0.658607,0.788861,0.617308
67,0.368963,0.654756,0.791392,0.621479
68,0.368741,0.650479,0.792405,0.622489
69,0.368585,0.646196,0.793418,0.622897
70,0.368393,0.641788,0.793418,0.622668
71,0.368237,0.636989,0.793924,0.622891
72,0.368056,0.633105,0.793924,0.622766
73,0.367874,0.629746,0.792911,0.621496
