round,train_loss,val_loss,val_acc,val_f1
1,0.610662,0.590252,0.850563,0.673339
2,0.465495,0.489133,0.879734,0.7036
3,0.444829,0.490528,0.868987,0.692945
4,0.431462,0.481633,0.867451,0.691354
5,0.422295,0.473239,0.868987,0.692945
6,0.415518,0.468087,0.869498,0.693455
7,0.410394,0.465086,0.870522,0.694518
8,0.406317,0.463239,0.869498,0.693455
9,0.402969,0.462162,0.867451,0.691341
10,0.400153,0.460952,0.867963,0.691864
11,0.397697,0.460104,0.867451,0.691329
12,0.395556,0.458723,0.867451,0.691329
13,0.393689,0.457883,0.867451,0.691329
14,0.391973,0.456652,0.867451,0.691329
15,0.390422,0.456195,0.867451,0.691341
16,0.388974,0.455258,0.867963,0.692094
17,0.387642,0.454828,0.868475,0.692627
