round,train_loss,val_loss,val_acc,val_f1
1,0.733789,0.816987,0.72036,0.618163
2,0.49877,0.588107,0.8004,0.754042
3,0.446309,0.558852,0.807404,0.764359
4,0.427322,0.540858,0.815908,0.77518
5,0.416749,0.528237,0.821911,0.78215
6,0.409663,0.51922,0.826913,0.788092
7,0.404503,0.509726,0.834417,0.796436
8,0.400636,0.501371,0.837419,0.800157
9,0.397574,0.494115,0.84092,0.803917
10,0.395062,0.488125,0.843422,0.806929
11,0.392853,0.482871,0.847924,0.811863
12,0.390818,0.476512,0.850425,0.815405
13,0.389024,0.47239,0.851926,0.816945
14,0.387439,0.466982,0.852926,0.81808
15,0.386144,0.463173,0.854927,0.819938
16,0.385105,0.45972,0.856928,0.822569
17,0.383818,0.456531,0.857929,0.823543
18,0.382648,0.454627,0.85993,0.825845
19,0.381653,0.45224,0.86043,0.826338
20,0.380789,0.45041,0.86093,0.826806
21,0.379929,0.448327,0.861931,0.827787
22,0.379166,0.446675,0.862431,0.828157
23,0.378458,0.445415,0.863932,0.830849
24,0.377827,0.444592,0.864432,0.831245
25,0.377243,0.442959,0.864932,0.832262
26,0.376648,0.44199,0.865433,0.832561
27,0.376131,0.440633,0.866933,0.83489
28,0.375649,0.438668,0.866933,0.83489
29,0.375179,0.438421,0.866433,0.8343
30,0.374758,0.438595,0.867434,0.835582
31,0.37429,0.437622,0.868934,0.837341
32,0.373802,0.436978,0.869435,0.83787
33,0.373294,0.436411,0.869935,0.838487
34,0.372783,0.436303,0.869935,0.838487
35,0.373167,0.435684,0.869435,0.838147
36,0.37324,0.436047,0.870935,0.840127
37,0.3728,0.437799,0.870935,0.840132
38,0.376158,0.438615,0.870935,0.839757
39,0.37186,0.436304,0.870935,0.839757
40,0.370365,0.434854,0.870935,0.839947
41,0.36943,0.43476,0.871436,0.84066
42,0.36926,0.434279,0.870935,0.839947
43,0.368943,0.434082,0.871436,0.84066
44,0.36866,0.43326,0.872436,0.842017
45,0.368724,0.433352,0.871436,0.840811
46,0.369431,0.432496,0.871936,0.841306
47,0.370892,0.434098,0.871936,0.841306
48,0.372759,0.433411,0.870935,0.839813
49,0.367527,0.432787,0.870935,0.839912
50,0.370703,0.430991,0.871936,0.841306
51,0.368408,0.433211,0.870935,0.839912
52,0.368154,0.43294,0.871936,0.841043
53,0.367122,0.433398,0.870935,0.839941
54,0.366015,0.433161,0.870935,0.839941
55,0.366217,0.433395,0.870935,0.839941
56,0.366134,0.433503,0.870935,0.839941
57,0.366102,0.433698,0.870435,0.83954
58,0.365969,0.434207,0.869935,0.838981
59,0.365826,0.433852,0.869435,0.838579
