round,train_loss,val_loss,val_acc,val_f1
1,0.679078,0.553639,0.768168,0.571103
2,0.493697,0.429282,0.808086,0.681142
3,0.45473,0.410168,0.818833,0.726142
4,0.437167,0.391446,0.82958,0.753469
5,0.426613,0.374055,0.842375,0.77969
6,0.419322,0.356596,0.861822,0.815007
7,0.413839,0.340351,0.878199,0.842199
8,0.409494,0.327084,0.888434,0.858104
9,0.405923,0.314689,0.897134,0.870142
10,0.402917,0.305295,0.908393,0.885871
11,0.400338,0.297798,0.913511,0.893579
12,0.39808,0.290361,0.918117,0.900262
13,0.396087,0.28409,0.921699,0.905437
14,0.394313,0.278761,0.930399,0.917355
15,0.392723,0.275016,0.932958,0.920969
16,0.391281,0.270738,0.933982,0.922486
17,0.389977,0.268042,0.93654,0.925843
18,0.388783,0.26456,0.940635,0.930896
19,0.387676,0.262622,0.941658,0.932251
20,0.38667,0.260064,0.942682,0.933667
21,0.385728,0.258087,0.943705,0.934922
22,0.384862,0.255987,0.945752,0.937332
23,0.384061,0.254113,0.947799,0.939929
24,0.383314,0.252363,0.951382,0.944071
25,0.382624,0.250187,0.953941,0.947176
26,0.381989,0.248746,0.954964,0.948428
27,0.381393,0.24691,0.955476,0.949008
28,0.380858,0.245574,0.957011,0.950612
29,0.380343,0.244205,0.958035,0.951759
30,0.379865,0.242984,0.95957,0.953472
31,0.379434,0.242003,0.960082,0.953773
32,0.379022,0.241787,0.962641,0.956588
33,0.378643,0.241358,0.963153,0.956871
34,0.378277,0.24062,0.965711,0.960025
35,0.377952,0.240869,0.967758,0.962229
36,0.377644,0.240765,0.967758,0.962121
37,0.377355,0.240231,0.96827,0.962378
38,0.37709,0.240247,0.966223,0.959643
39,0.37683,0.239691,0.965711,0.959098
40,0.37659,0.238706,0.966735,0.960186
41,0.376346,0.237441,0.966223,0.959643
42,0.376113,0.235809,0.966735,0.960373
43,0.375881,0.234395,0.966735,0.96034
44,0.375649,0.232569,0.966735,0.960477
45,0.375428,0.230896,0.966735,0.960477
46,0.375218,0.229076,0.968782,0.963279
47,0.375004,0.227667,0.966223,0.959913
48,0.374804,0.226052,0.966223,0.959913
49,0.37461,0.224533,0.965711,0.959745
50,0.374421,0.222822,0.964176,0.958087
51,0.374239,0.221429,0.963153,0.957111
52,0.374061,0.220102,0.961617,0.9557
53,0.373895,0.219445,0.961105,0.95527
54,0.37373,0.219493,0.960594,0.95506
55,0.373574,0.219361,0.95957,0.954053
56,0.373423,0.219695,0.95957,0.9544
57,0.373276,0.220037,0.957523,0.951917
58,0.373139,0.221223,0.956499,0.95076
59,0.373008,0.222259,0.957011,0.951464
60,0.372871,0.223807,0.955988,0.950303
61,0.372752,0.225122,0.956499,0.951088
