round,train_loss,val_loss,val_acc,val_f1
1,0.360948,0.687,0.775888,0.588222
2,0.161195,0.605779,0.805903,0.684122
3,0.123599,0.5812,0.77989,0.688955
4,0.100452,0.580378,0.778389,0.696759
5,0.083809,0.586254,0.772886,0.694569
6,0.07182,0.595266,0.774387,0.699711
7,0.062651,0.605826,0.778889,0.710308
8,0.056139,0.616754,0.783392,0.718312
9,0.05096,0.624228,0.787894,0.725765
10,0.045156,0.630283,0.786393,0.724197
11,0.039213,0.636255,0.789895,0.729757
12,0.035709,0.642142,0.792396,0.733575
13,0.033026,0.647332,0.792396,0.733709
14,0.030672,0.652376,0.792396,0.735196
15,0.028404,0.656428,0.792896,0.736258
16,0.026923,0.66073,0.792396,0.736907
17,0.026078,0.666087,0.797399,0.743808
18,0.024958,0.670699,0.798399,0.74538
19,0.023493,0.673509,0.7994,0.746026
20,0.026544,0.682401,0.7994,0.747307
21,0.021439,0.689296,0.7999,0.747863
22,0.022122,0.696162,0.7994,0.747679
23,0.017431,0.700821,0.798399,0.746558
24,0.017628,0.705217,0.798899,0.747492
25,0.014827,0.708321,0.7999,0.748471
26,0.016577,0.71112,0.8004,0.749118
27,0.01826,0.7126,0.798399,0.746675
28,0.015898,0.717217,0.802401,0.753377
29,0.020533,0.722167,0.803902,0.754572
30,0.016342,0.726728,0.803902,0.754342
31,0.0146,0.729797,0.802401,0.75295
32,0.014258,0.730743,0.802401,0.75272
33,0.014051,0.736599,0.8009,0.752238
34,0.013916,0.740177,0.8004,0.75124
35,0.015294,0.742167,0.802901,0.754311
36,0.020643,0.74521,0.801401,0.751874
37,0.022735,0.751399,0.8004,0.750803
38,0.024721,0.752651,0.801401,0.751808
39,0.030309,0.753177,0.804402,0.754935
40,0.021584,0.765464,0.805903,0.756941
41,0.014892,0.767292,0.804402,0.756092
42,0.008788,0.770945,0.801401,0.753538
43,0.028263,0.771016,0.8004,0.751663
44,0.030605,0.77817,0.807404,0.759184
45,0.03601,0.807182,0.805903,0.756742
46,0.013373,0.802383,0.805403,0.756744
47,0.017409,0.806297,0.805403,0.758053
48,0.014023,0.804108,0.804402,0.75677
49,0.027882,0.799079,0.809405,0.763314
50,0.01897,0.797108,0.806403,0.75913
51,0.024389,0.811677,0.805403,0.758587
52,0.016062,0.809522,0.805403,0.758485
53,0.033429,0.793489,0.807404,0.761305
54,0.026504,0.799118,0.803902,0.757678
55,0.017859,0.803087,0.8009,0.754276
56,0.018804,0.810202,0.803902,0.758384
57,0.022811,0.811354,0.804902,0.759298
58,0.033717,0.825433,0.807904,0.764705
59,0.014231,0.800713,0.810405,0.764678
60,0.012439,0.805158,0.805903,0.761063
61,0.031843,0.803646,0.808904,0.764885
62,0.035322,0.821405,0.807404,0.761177
63,0.005389,0.822239,0.803902,0.757736
64,0.004907,0.823794,0.801401,0.755811
65,0.039389,0.822854,0.805403,0.761393
66,0.004719,0.814617,0.803402,0.758995
67,0.00405,0.816324,0.8009,0.757332
68,0.003975,0.817124,0.7994,0.755961
69,0.004015,0.818358,0.798399,0.755047
70,0.011797,0.818543,0.801901,0.758836
71,0.0316,0.823661,0.803402,0.76152
72,0.039464,0.787081,0.822911,0.779295
73,0.009074,0.786855,0.824912,0.781492
74,0.004497,0.778589,0.81991,0.777819
75,0.0041,0.78974,0.817909,0.775892
76,0.027188,0.825241,0.812906,0.770151
77,0.004877,0.832716,0.807404,0.764786
78,0.023851,0.844581,0.815908,0.773867
79,0.005103,0.850636,0.810905,0.768522
80,0.004939,0.853885,0.804902,0.763129
81,0.005117,0.842978,0.805903,0.763871
82,0.003675,0.854337,0.8009,0.759548
83,0.003703,0.858875,0.8004,0.759222
84,0.00377,0.865652,0.798399,0.757464
85,0.003674,0.871447,0.796398,0.755283
86,0.003587,0.871687,0.795898,0.754973
87,0.00361,0.874645,0.794397,0.753677
88,0.003693,0.873866,0.794397,0.753819
