round,train_loss,val_loss,val_acc,val_f1
1,0.282115,0.747552,0.786835,0.615209
2,0.137604,0.909189,0.713418,0.553859
3,0.122494,0.919196,0.724051,0.563615
4,0.102304,0.908142,0.734684,0.572795
5,0.092498,0.888156,0.740759,0.577925
6,0.076399,0.861906,0.744304,0.580862
7,0.066326,0.843877,0.745823,0.581815
8,0.065468,0.823134,0.748861,0.584599
9,0.055649,0.813275,0.75443,0.589073
10,0.050942,0.805135,0.754937,0.589411
11,0.051057,0.794152,0.756962,0.590882
12,0.044394,0.788926,0.758481,0.592454
13,0.042728,0.789807,0.761013,0.594357
14,0.044723,0.777471,0.762025,0.594835
15,0.037412,0.780544,0.763038,0.595841
16,0.036616,0.783325,0.766582,0.600645
