round,train_loss,val_loss,val_acc,val_f1
1,0.435131,0.710577,0.709367,0.635222
2,0.135383,0.582973,0.752911,0.711273
3,0.071636,0.56452,0.785316,0.751825
4,0.053167,0.511105,0.817722,0.789404
5,0.045668,0.493832,0.835443,0.809344
6,0.039731,0.490993,0.837468,0.812437
7,0.035464,0.492715,0.840506,0.816074
8,0.034403,0.493498,0.846582,0.822805
9,0.030606,0.494573,0.84962,0.825645
10,0.028558,0.5018,0.849114,0.825712
11,0.026745,0.507905,0.849114,0.825841
12,0.033496,0.510145,0.853671,0.829509
13,0.026764,0.526609,0.847089,0.822783
14,0.017628,0.531786,0.848101,0.825228
15,0.016917,0.531422,0.850633,0.828305
16,0.015114,0.53552,0.853671,0.832083
17,0.013654,0.539639,0.858228,0.837315
18,0.013802,0.544842,0.859241,0.838497
19,0.024534,0.567004,0.84962,0.827709
20,0.026589,0.570259,0.850127,0.827851
21,0.025629,0.558584,0.849114,0.827632
22,0.035799,0.560693,0.844051,0.824259
23,0.028185,0.530266,0.859747,0.840856
24,0.020242,0.512563,0.864304,0.842643
25,0.01964,0.573314,0.866329,0.848345
26,0.013141,0.59732,0.856203,0.835729
27,0.009608,0.59553,0.859747,0.839329
28,0.008349,0.599112,0.859747,0.839837
29,0.015588,0.606357,0.860759,0.839343
30,0.012447,0.611355,0.863797,0.843896
31,0.015181,0.642367,0.856203,0.835601
32,0.007259,0.639065,0.857722,0.837342
33,0.014356,0.63818,0.860759,0.840821
34,0.006935,0.646572,0.860253,0.839853
35,0.00786,0.646083,0.858734,0.838323
36,0.024139,0.659379,0.852152,0.829263
37,0.024875,0.670319,0.851139,0.829361
38,0.023159,0.661537,0.85519,0.831824
39,0.00852,0.665267,0.860253,0.83714
40,0.008689,0.673029,0.859241,0.835662
