round,train_loss,val_loss,val_acc,val_f1
1,0.421326,0.615873,0.752876,0.619187
2,0.139638,0.535552,0.767884,0.670665
3,0.082686,0.524277,0.792396,0.726204
4,0.061819,0.540117,0.807904,0.753794
5,0.050165,0.562545,0.815408,0.766462
6,0.042655,0.591835,0.81991,0.774511
7,0.037224,0.621956,0.816908,0.772772
8,0.033043,0.651593,0.813907,0.770638
9,0.030443,0.675278,0.815408,0.773755
10,0.028211,0.694254,0.814907,0.773385
11,0.025514,0.71027,0.816408,0.775879
12,0.024766,0.725323,0.816908,0.776789
13,0.023236,0.738404,0.818909,0.779638
14,0.021017,0.747879,0.818909,0.779887
15,0.021806,0.758242,0.817409,0.778675
16,0.020967,0.767762,0.81941,0.781026
17,0.024312,0.813362,0.809405,0.771954
18,0.025122,0.799291,0.815908,0.777794
19,0.02721,0.811691,0.815408,0.777513
20,0.021929,0.818121,0.81941,0.782088
21,0.016925,0.819158,0.81991,0.782555
22,0.027511,0.827705,0.813907,0.776735
23,0.016924,0.835153,0.816908,0.780613
24,0.029134,0.815282,0.826913,0.791508
25,0.018247,0.827058,0.824412,0.788919
26,0.019451,0.836942,0.821411,0.785277
27,0.020705,0.852544,0.821411,0.786372
28,0.01379,0.852347,0.822911,0.787654
29,0.027666,0.838077,0.815408,0.781033
30,0.013365,0.846595,0.822411,0.787593
31,0.010563,0.85612,0.822911,0.788135
32,0.013763,0.865287,0.823912,0.789072
33,0.025037,0.8531,0.825913,0.790842
34,0.015598,0.876587,0.822911,0.787525
35,0.021854,0.87437,0.823412,0.787762
36,0.014743,0.894148,0.824912,0.789412
37,0.024343,0.873738,0.827914,0.791968
38,0.017955,0.88508,0.826913,0.790926
39,0.020879,0.876483,0.827914,0.792025
40,0.023607,0.876049,0.824412,0.788825
41,0.021279,0.871317,0.825913,0.790172
42,0.020742,0.861935,0.827414,0.791655
43,0.024181,0.888702,0.823912,0.78819
44,0.019649,0.869469,0.826413,0.790656
45,0.031748,0.848827,0.826413,0.7912
46,0.021765,0.853808,0.828414,0.79274
47,0.017261,0.858564,0.829415,0.794291
48,0.013665,0.868094,0.829915,0.794267
49,0.013862,0.881621,0.829415,0.793724
50,0.022802,0.871748,0.830915,0.795252
51,0.010381,0.877065,0.831416,0.79614
52,0.009977,0.888637,0.831916,0.796546
53,0.020332,0.882955,0.830915,0.795724
54,0.016803,0.882521,0.832416,0.797069
55,0.026052,0.9608,0.816908,0.781394
56,0.023134,0.908094,0.830915,0.796687
57,0.023787,0.908473,0.831416,0.796219
58,0.04128,0.904704,0.832416,0.795821
59,0.017512,0.878609,0.834917,0.80011
60,0.008417,0.885012,0.834917,0.80039
61,0.014565,0.894554,0.832416,0.797772
62,0.027134,0.898423,0.828914,0.796119
63,0.00882,0.894226,0.832416,0.798757
64,0.004943,0.900456,0.832916,0.799463
65,0.017609,0.902735,0.834417,0.800838
66,0.023661,0.909069,0.835918,0.801432
67,0.016186,0.916884,0.829915,0.796654
68,0.004951,0.91078,0.832416,0.798697
69,0.004595,0.916884,0.832416,0.798697
70,0.005228,0.922493,0.831416,0.797646
71,0.006667,0.921287,0.832416,0.798675
72,0.006215,0.926711,0.831916,0.798055
73,0.005992,0.928487,0.832416,0.798464
74,0.005311,0.928254,0.832916,0.799084
75,0.005075,0.930269,0.833917,0.799904
76,0.004956,0.931636,0.833417,0.799494
77,0.004786,0.932499,0.833917,0.799904
78,0.004693,0.93554,0.834417,0.800523
79,0.004551,0.939268,0.833917,0.800113
80,0.004554,0.941939,0.832916,0.799084
81,0.004597,0.944792,0.833417,0.799494
