round,train_loss,val_loss,val_acc,val_f1
1,0.344525,0.780337,0.682025,0.517892
2,0.167916,0.759295,0.725063,0.539834
3,0.130847,0.679734,0.725063,0.587599
4,0.106853,0.647418,0.757975,0.681075
5,0.091001,0.63649,0.777215,0.726748
6,0.073904,0.616871,0.786835,0.750863
7,0.063861,0.600666,0.795949,0.765591
8,0.056749,0.591593,0.801013,0.774456
9,0.054581,0.58545,0.801519,0.775801
10,0.046261,0.585839,0.804051,0.781085
11,0.044705,0.601347,0.799494,0.779211
12,0.03803,0.598996,0.802532,0.782815
13,0.04384,0.608073,0.798987,0.779488
14,0.03271,0.620775,0.799494,0.781183
15,0.031293,0.635201,0.797975,0.780098
16,0.028973,0.652446,0.795443,0.778907
17,0.027548,0.661642,0.793418,0.776598
18,0.024282,0.663191,0.792911,0.775683
19,0.027594,0.669859,0.792911,0.776264
20,0.033298,0.664088,0.798481,0.780795
21,0.020658,0.672557,0.794937,0.778561
22,0.028076,0.68043,0.795949,0.780154
23,0.022077,0.689918,0.79443,0.779111
24,0.017064,0.709879,0.788861,0.774247
25,0.019412,0.712731,0.789367,0.775382
26,0.017651,0.714765,0.792911,0.779121
27,0.02199,0.716806,0.794937,0.781831
