round,train_loss,val_loss,val_acc,val_f1
1,0.691283,0.795213,0.679494,0.471372
2,0.482696,0.666798,0.715443,0.596792
3,0.445277,0.612541,0.756962,0.686432
4,0.428544,0.582077,0.774684,0.709409
5,0.418489,0.560268,0.784304,0.726042
6,0.411585,0.543125,0.799494,0.749628
7,0.406447,0.529712,0.808101,0.762983
8,0.402335,0.517879,0.813671,0.771695
9,0.398955,0.508856,0.818228,0.779302
10,0.396116,0.501522,0.822785,0.785543
11,0.393678,0.493736,0.827848,0.792289
12,0.39158,0.488466,0.830886,0.796834
13,0.38976,0.482536,0.833924,0.801523
14,0.388165,0.476954,0.835949,0.805486
15,0.386736,0.473455,0.838481,0.809367
16,0.385451,0.468732,0.840506,0.811894
17,0.384292,0.465439,0.838987,0.810731
18,0.383242,0.46273,0.839494,0.81208
19,0.382283,0.460926,0.84,0.813467
20,0.381405,0.459086,0.84,0.813347
21,0.380586,0.457468,0.841013,0.814356
22,0.379835,0.456508,0.838481,0.81231
23,0.37915,0.455267,0.838987,0.812912
24,0.378513,0.455765,0.838481,0.812581
25,0.377923,0.45541,0.838987,0.813775
26,0.377378,0.455213,0.840506,0.815813
27,0.376859,0.455371,0.842025,0.81791
28,0.37638,0.455664,0.843038,0.819453
29,0.375937,0.455889,0.843544,0.820173
30,0.375506,0.456501,0.846582,0.824188
31,0.375098,0.458077,0.84557,0.823359
32,0.374723,0.458002,0.847595,0.825984
33,0.37436,0.458383,0.848101,0.826527
34,0.374029,0.459307,0.848101,0.826477
35,0.373716,0.460716,0.847089,0.825378
36,0.373418,0.461531,0.848101,0.826515
37,0.373137,0.462495,0.848101,0.826627
38,0.372866,0.463638,0.847089,0.825469
39,0.372613,0.464081,0.846582,0.825032
40,0.37237,0.464873,0.84557,0.823926
41,0.372149,0.466619,0.84557,0.823782
42,0.371935,0.467603,0.844557,0.822746
43,0.371733,0.468175,0.845063,0.823606
44,0.371542,0.469486,0.844557,0.822746
45,0.371358,0.470308,0.842532,0.820592
46,0.371183,0.471707,0.841013,0.818983
47,0.371019,0.472274,0.841013,0.819115
48,0.370872,0.473624,0.840506,0.818661
49,0.370717,0.474703,0.84,0.818306
50,0.370579,0.475808,0.840506,0.819116
51,0.370448,0.477053,0.838987,0.817351
52,0.370314,0.477573,0.837975,0.816443
