round,train_loss,val_loss,val_acc,val_f1
1,0.601632,0.786044,0.751,0.587463
2,0.463674,0.670259,0.769,0.601061
3,0.444632,0.661538,0.7645,0.594691
4,0.432848,0.645945,0.7685,0.59911
5,0.424184,0.629872,0.773,0.604263
6,0.417481,0.617981,0.778,0.609799
7,0.412135,0.608383,0.7815,0.613712
8,0.407816,0.600484,0.7855,0.61801
9,0.404276,0.592835,0.7895,0.622256
10,0.401344,0.586971,0.791,0.623932
11,0.398833,0.582232,0.7935,0.626758
12,0.396677,0.578022,0.7965,0.629914
13,0.394782,0.575011,0.7985,0.631934
14,0.39306,0.572149,0.799,0.632303
15,0.391493,0.568199,0.8,0.63341
16,0.390054,0.564828,0.8,0.635335
17,0.388777,0.561781,0.802,0.639257
18,0.387605,0.559976,0.803,0.640071
19,0.386569,0.558071,0.8035,0.640535
20,0.385621,0.556212,0.805,0.642193
21,0.384757,0.55503,0.805,0.642392
22,0.383954,0.553395,0.8055,0.644641
23,0.38319,0.552641,0.807,0.649983
24,0.382512,0.553192,0.8075,0.652262
25,0.38184,0.553396,0.8105,0.659236
26,0.381156,0.55317,0.8115,0.662183
27,0.380544,0.554484,0.8125,0.665331
28,0.379917,0.554628,0.8135,0.668158
29,0.379331,0.555669,0.813,0.667696
30,0.378772,0.556507,0.816,0.674198
31,0.378296,0.557515,0.8165,0.674739
32,0.377847,0.557821,0.818,0.679606
33,0.377497,0.558927,0.817,0.676959
34,0.377206,0.558125,0.8185,0.678638
35,0.37703,0.555468,0.821,0.681402
36,0.376883,0.55165,0.8205,0.674489
37,0.376856,0.545952,0.822,0.67059
38,0.376938,0.540369,0.8225,0.66763
39,0.377744,0.53674,0.82,0.655429
40,0.378727,0.539627,0.8185,0.653702
41,0.379845,0.54736,0.8135,0.64803
42,0.379109,0.557114,0.8125,0.646992
43,0.379601,0.567837,0.809,0.644004
44,0.379211,0.567061,0.8075,0.64272
45,0.378866,0.56887,0.806,0.641091
46,0.378896,0.573323,0.805,0.640605
47,0.378496,0.580999,0.8015,0.637463
48,0.377623,0.58881,0.8,0.636617
49,0.3756,0.596186,0.8005,0.637455
50,0.375325,0.594801,0.805,0.641549
