round,train_loss,val_loss,val_acc,val_f1
1,0.473019,0.644802,0.755374,0.598023
2,0.146246,0.58906,0.810133,0.71675
3,0.079869,0.425099,0.839304,0.777667
4,0.057175,0.372652,0.853634,0.804613
5,0.045836,0.378234,0.855681,0.808223
6,0.03713,0.400739,0.854657,0.805624
7,0.032166,0.414461,0.856704,0.808804
8,0.028043,0.444091,0.856704,0.8086
9,0.025579,0.467163,0.856704,0.8086
10,0.025979,0.475712,0.856192,0.807737
11,0.021185,0.50501,0.855169,0.806063
12,0.020714,0.534945,0.854657,0.805146
13,0.021467,0.557065,0.854657,0.80504
14,0.02152,0.568867,0.855169,0.805878
15,0.018089,0.580756,0.855169,0.805772
16,0.018582,0.617234,0.853122,0.803231
17,0.024223,0.664811,0.853634,0.804634
18,0.034203,0.638514,0.849028,0.797274
19,0.022193,0.667258,0.850051,0.7981
20,0.025707,0.696288,0.849028,0.796648
21,0.01424,0.706071,0.850563,0.799535
22,0.029011,0.713414,0.854145,0.805965
