round,train_loss,val_loss,val_acc,val_f1
1,0.665383,0.81911,0.707854,0.518517
2,0.491424,0.756016,0.725363,0.592131
3,0.454878,0.72596,0.746873,0.638259
4,0.43866,0.681836,0.76038,0.661026
5,0.428323,0.653283,0.768884,0.675179
6,0.420611,0.632013,0.775888,0.684548
7,0.414656,0.616465,0.782891,0.694931
8,0.409841,0.605306,0.786893,0.701115
9,0.40588,0.593934,0.790395,0.705843
10,0.402476,0.586517,0.791896,0.707834
11,0.39956,0.580284,0.792396,0.709123
12,0.396992,0.574091,0.794397,0.713369
13,0.394694,0.569132,0.795898,0.71701
14,0.392626,0.564621,0.797399,0.720503
15,0.390766,0.560966,0.798399,0.722991
16,0.389089,0.558024,0.795398,0.719796
17,0.387581,0.55493,0.794897,0.719487
18,0.386218,0.553513,0.795398,0.72066
19,0.384989,0.552092,0.794397,0.719896
20,0.383871,0.551235,0.797399,0.724803
21,0.382841,0.550699,0.796898,0.724918
22,0.381924,0.548835,0.7994,0.728988
23,0.38109,0.5486,0.7994,0.730886
24,0.380357,0.545014,0.804902,0.737586
25,0.379631,0.54592,0.801901,0.735193
26,0.379011,0.546305,0.8009,0.735547
27,0.378425,0.544512,0.802401,0.737594
28,0.377874,0.545021,0.802901,0.739215
29,0.377398,0.543458,0.804902,0.742582
30,0.376894,0.54312,0.804402,0.742466
31,0.37649,0.540862,0.805403,0.744711
32,0.376049,0.541867,0.806903,0.747753
33,0.375693,0.540331,0.807404,0.74906
34,0.375296,0.541149,0.806403,0.749058
35,0.374992,0.541217,0.808904,0.752782
36,0.374664,0.542201,0.806903,0.750814
37,0.374339,0.542625,0.806903,0.751676
38,0.374026,0.543517,0.808904,0.755586
39,0.373673,0.544581,0.809405,0.756855
40,0.373382,0.546781,0.807904,0.756
41,0.373085,0.548341,0.808404,0.756759
42,0.372882,0.550348,0.808904,0.7591
43,0.372729,0.552381,0.808904,0.759547
44,0.372569,0.554208,0.808404,0.759236
45,0.372368,0.554786,0.808904,0.759597
46,0.372175,0.555426,0.807904,0.759068
47,0.372034,0.554367,0.809405,0.761222
48,0.37216,0.554031,0.810905,0.763293
49,0.372038,0.553501,0.810405,0.762797
50,0.371777,0.552819,0.808404,0.758901
51,0.371605,0.551206,0.810405,0.761184
52,0.37145,0.550132,0.810905,0.761883
53,0.371262,0.549831,0.810905,0.761883
54,0.371131,0.549125,0.811406,0.762631
55,0.37098,0.548905,0.810905,0.762162
56,0.370848,0.548645,0.811406,0.762988
57,0.370745,0.548295,0.810905,0.761625
58,0.370684,0.547811,0.811406,0.761626
59,0.370534,0.54804,0.811406,0.761714
60,0.370338,0.547324,0.812406,0.762829
61,0.37026,0.545666,0.813907,0.76444
62,0.370159,0.54384,0.812406,0.762517
63,0.36997,0.543202,0.810905,0.760494
64,0.370353,0.541024,0.812406,0.761864
65,0.369797,0.539498,0.811406,0.759819
66,0.369641,0.538639,0.810905,0.758278
67,0.369547,0.53724,0.813407,0.761275
68,0.36954,0.535552,0.814907,0.762342
69,0.369616,0.534531,0.814407,0.761745
70,0.369725,0.533641,0.813907,0.760339
71,0.37057,0.532596,0.815408,0.76223
72,0.369795,0.531183,0.817409,0.764734
73,0.369866,0.529931,0.81941,0.766869
74,0.369792,0.527898,0.822411,0.770596
75,0.36974,0.526721,0.821911,0.769365
76,0.369616,0.524336,0.823912,0.772222
77,0.369346,0.523278,0.823412,0.771201
78,0.369032,0.520763,0.824412,0.772801
79,0.369844,0.517951,0.826413,0.775275
80,0.368503,0.515791,0.826413,0.775261
81,0.368114,0.51434,0.825913,0.774164
82,0.368128,0.511992,0.827914,0.775868
83,0.367644,0.51037,0.828914,0.777197
84,0.367441,0.508344,0.828414,0.776076
85,0.367257,0.506269,0.826913,0.773603
86,0.367087,0.504132,0.826913,0.773615
87,0.366844,0.5017,0.828914,0.776211
88,0.366862,0.499495,0.828914,0.776461
89,0.366492,0.498421,0.829415,0.776654
90,0.366234,0.49726,0.828914,0.776193
91,0.366009,0.496799,0.829415,0.777042
92,0.365887,0.496001,0.830915,0.779932
93,0.365791,0.494105,0.830915,0.779932
94,0.365655,0.492957,0.829915,0.779472
95,0.365524,0.491876,0.830915,0.781116
96,0.365397,0.491388,0.830415,0.780828
97,0.36528,0.490978,0.828414,0.779026
98,0.365238,0.4909,0.827914,0.779208
99,0.365188,0.490843,0.828414,0.780539
100,0.36513,0.490191,0.828414,0.781667
