round,train_loss,val_loss,val_acc,val_f1
1,0.708877,0.468039,0.819345,0.639114
2,0.489563,0.361354,0.857216,0.763188
3,0.447767,0.331996,0.874104,0.811307
4,0.429791,0.321457,0.880757,0.828176
5,0.419502,0.314173,0.886899,0.841215
6,0.412597,0.308776,0.894063,0.855304
7,0.407475,0.30382,0.899693,0.866487
8,0.403418,0.299654,0.903787,0.873552
9,0.400064,0.294094,0.906346,0.878177
10,0.397244,0.289222,0.908393,0.881316
11,0.394833,0.284004,0.911464,0.886346
12,0.392733,0.278008,0.917605,0.896147
13,0.390877,0.273488,0.923234,0.904606
14,0.389232,0.268881,0.927329,0.910278
15,0.387769,0.264417,0.932446,0.917851
16,0.386455,0.259788,0.933982,0.919859
17,0.385252,0.255424,0.938588,0.926038
18,0.384165,0.252139,0.940123,0.928042
19,0.383174,0.248601,0.941146,0.929249
20,0.382275,0.244407,0.944729,0.93375
21,0.38145,0.242539,0.946776,0.936778
22,0.380695,0.239812,0.949335,0.940119
23,0.379993,0.237111,0.950358,0.941523
24,0.379347,0.235142,0.952917,0.945048
25,0.378744,0.233125,0.954452,0.946826
26,0.378178,0.2318,0.955476,0.947972
27,0.377643,0.230413,0.955476,0.948033
28,0.377159,0.228741,0.957011,0.949917
29,0.376701,0.227566,0.958547,0.952023
30,0.376271,0.226417,0.959058,0.952591
31,0.375867,0.226034,0.95957,0.953141
32,0.375492,0.225213,0.960594,0.954272
33,0.375146,0.224188,0.961105,0.954836
34,0.374817,0.223539,0.960594,0.954085
35,0.3745,0.22292,0.960594,0.954085
36,0.374193,0.221987,0.960082,0.953521
37,0.373885,0.220995,0.960594,0.954085
38,0.373602,0.219943,0.960594,0.954085
39,0.373333,0.218467,0.960082,0.953521
40,0.373066,0.217633,0.960082,0.953521
41,0.372803,0.216879,0.960082,0.953521
42,0.372556,0.216286,0.959058,0.95239
43,0.37231,0.215146,0.958035,0.951254
44,0.372095,0.213546,0.958547,0.951823
45,0.37189,0.212904,0.957523,0.950685
46,0.371674,0.211632,0.957011,0.949936
47,0.371479,0.210592,0.957011,0.949936
48,0.371294,0.209442,0.957011,0.949936
