round,train_loss,val_loss,val_acc,val_f1
1,0.410896,0.629191,0.744626,0.554189
2,0.155926,0.507545,0.800409,0.697589
3,0.105979,0.525706,0.816786,0.733254
4,0.085156,0.514829,0.832651,0.764619
5,0.070676,0.495844,0.846981,0.790827
6,0.060957,0.476715,0.855169,0.80554
7,0.05332,0.459345,0.862334,0.817719
8,0.052078,0.461907,0.861822,0.816916
9,0.041397,0.450819,0.867451,0.826513
10,0.040614,0.444938,0.874104,0.837336
11,0.039382,0.450332,0.871546,0.833459
12,0.033399,0.424726,0.876663,0.841631
13,0.030571,0.414042,0.878199,0.845272
14,0.028796,0.40587,0.87871,0.84617
15,0.031726,0.39452,0.881269,0.850034
16,0.024894,0.392903,0.882293,0.851677
17,0.020831,0.38358,0.884852,0.856137
18,0.029039,0.38884,0.881781,0.851673
19,0.027114,0.391523,0.883828,0.854681
20,0.024064,0.384223,0.885363,0.85696
21,0.026203,0.393951,0.88434,0.855375
22,0.024331,0.399591,0.885363,0.85696
23,0.025258,0.410051,0.883828,0.855418
24,0.021268,0.399437,0.884852,0.85699
25,0.020595,0.403748,0.884852,0.857071
26,0.027872,0.384045,0.886899,0.860521
27,0.026669,0.389357,0.885875,0.859043
28,0.028532,0.402872,0.882805,0.854574
29,0.0209,0.388089,0.884852,0.857817
30,0.019482,0.384233,0.889969,0.864866
31,0.018555,0.396538,0.88741,0.861398
32,0.027361,0.395326,0.884852,0.857676
33,0.014862,0.393823,0.884852,0.857732
34,0.019187,0.382272,0.889969,0.865223
35,0.024195,0.389306,0.889458,0.864418
36,0.021408,0.382639,0.890481,0.865758
37,0.030567,0.387422,0.890481,0.86569
38,0.017464,0.402448,0.890481,0.865868
39,0.018955,0.395924,0.892016,0.868027
40,0.025103,0.383383,0.894063,0.870802
41,0.015964,0.373026,0.896111,0.873717
42,0.030874,0.395166,0.888946,0.863524
43,0.024933,0.392565,0.89304,0.868414
44,0.028382,0.374484,0.895087,0.872415
45,0.022384,0.372593,0.895087,0.873351
46,0.018701,0.359977,0.896111,0.874956
47,0.022274,0.375051,0.893552,0.873015
48,0.019235,0.369287,0.895599,0.875858
49,0.014368,0.338401,0.897134,0.876896
50,0.026827,0.348623,0.895087,0.873995
51,0.039419,0.359625,0.894575,0.873435
52,0.022287,0.352656,0.900716,0.880909
53,0.026101,0.344085,0.899181,0.881358
54,0.0171,0.340625,0.899693,0.881855
55,0.023428,0.360112,0.896622,0.877636
56,0.024209,0.35748,0.896622,0.876449
57,0.02321,0.347276,0.900205,0.881926
58,0.027267,0.359364,0.894063,0.873932
59,0.027872,0.337429,0.902252,0.883835
60,0.038968,0.372617,0.899181,0.879303
61,0.023304,0.401926,0.892528,0.870588
62,0.025118,0.352309,0.897134,0.876627
63,0.020346,0.356223,0.897646,0.877767
64,0.021351,0.325214,0.903275,0.885224
65,0.020333,0.334823,0.903787,0.886104
66,0.029991,0.327001,0.903275,0.8842
67,0.02546,0.316585,0.905322,0.887931
68,0.037137,0.313771,0.905322,0.888109
69,0.019024,0.315295,0.903787,0.886082
70,0.02592,0.336083,0.903275,0.885876
71,0.045835,0.25641,0.920164,0.904578
72,0.026687,0.270675,0.920676,0.906541
73,0.01186,0.260494,0.919652,0.90508
74,0.019879,0.252811,0.922723,0.909149
75,0.026003,0.290874,0.914534,0.898306
76,0.013939,0.263613,0.91914,0.905125
77,0.028974,0.270437,0.917093,0.90318
78,0.019143,0.249702,0.919652,0.906577
79,0.003022,0.244572,0.921699,0.909225
80,0.00306,0.243408,0.920676,0.907873
81,0.003034,0.242013,0.922211,0.909919
82,0.00338,0.241286,0.922211,0.909807
83,0.003661,0.241428,0.923234,0.911044
84,0.009393,0.245354,0.923234,0.911441
85,0.00366,0.244912,0.921699,0.90936
86,0.004609,0.245134,0.922211,0.909928
87,0.00353,0.245783,0.922723,0.910602
88,0.003361,0.247243,0.923234,0.91134
89,0.003581,0.247181,0.923234,0.91134
90,0.004141,0.246715,0.922723,0.91062
91,0.004137,0.246653,0.923234,0.911466
92,0.00395,0.246318,0.922211,0.910257
93,0.004003,0.24825,0.921699,0.909768
94,0.004083,0.248549,0.922211,0.910614
95,0.004059,0.249393,0.921187,0.909407
96,0.003981,0.250217,0.921187,0.909639
97,0.003975,0.25077,0.920676,0.909153
98,0.003905,0.252398,0.920676,0.909153
99,0.003884,0.253334,0.920164,0.908434
100,0.003885,0.254622,0.91914,0.907464
