round,train_loss,val_loss,val_acc,val_f1
1,0.460946,0.761344,0.701851,0.5924
2,0.151188,0.609584,0.78039,0.717549
3,0.081385,0.633461,0.798399,0.745261
4,0.059116,0.685327,0.802401,0.752652
5,0.04702,0.726788,0.804402,0.755908
6,0.038699,0.744128,0.811406,0.765951
7,0.036855,0.779256,0.809405,0.764309
8,0.032029,0.791124,0.802901,0.755656
9,0.026458,0.8001,0.810405,0.766538
10,0.029605,0.813751,0.810905,0.76641
11,0.022557,0.824825,0.809405,0.764811
12,0.02577,0.84517,0.808904,0.76384
13,0.026975,0.853315,0.809905,0.766046
14,0.025562,0.88397,0.806903,0.762186
15,0.02233,0.893587,0.805903,0.76176
16,0.023831,0.904668,0.808404,0.764726
17,0.025272,0.926885,0.812906,0.770589
18,0.022133,0.92796,0.810905,0.767795
19,0.021713,0.935724,0.812906,0.770188
20,0.02823,0.996545,0.794397,0.749154
21,0.02235,0.989883,0.804902,0.763913
22,0.0191,0.997099,0.806403,0.765143
23,0.016197,0.996632,0.805903,0.764329
24,0.021097,0.999325,0.805403,0.762903
25,0.035359,1.067726,0.805903,0.765775
26,0.028257,1.036392,0.803902,0.760965
27,0.014351,1.044662,0.805403,0.762672
28,0.021754,1.066695,0.804402,0.762128
29,0.020781,0.984123,0.814907,0.776353
30,0.010164,0.999524,0.813407,0.773642
31,0.018161,1.029186,0.804902,0.761987
32,0.010685,1.035094,0.805403,0.762708
33,0.026937,1.075847,0.8009,0.761976
34,0.021396,1.018641,0.812406,0.774076
35,0.012727,1.04486,0.807404,0.768045
36,0.010041,1.037128,0.809905,0.770645
37,0.009297,1.044723,0.808404,0.768297
38,0.016138,1.061136,0.807404,0.766797
39,0.00831,1.062227,0.806403,0.765616
40,0.007998,1.060122,0.807904,0.767625
41,0.00778,1.062268,0.808404,0.76807
42,0.007629,1.060216,0.809405,0.769508
43,0.007622,1.064332,0.809405,0.769653
44,0.019608,1.094281,0.805903,0.767393
