round,train_loss,val_loss,val_acc,val_f1
1,0.303972,0.731007,0.7755,0.608193
2,0.13791,0.645702,0.8025,0.631396
3,0.120372,0.640061,0.8095,0.6378
4,0.100802,0.618092,0.8115,0.639217
5,0.084138,0.600537,0.8115,0.639255
6,0.07139,0.583282,0.81,0.637711
7,0.061972,0.564219,0.8115,0.639603
8,0.054834,0.547771,0.8135,0.642125
9,0.051122,0.537448,0.8155,0.643935
10,0.046338,0.525496,0.8165,0.645246
11,0.044185,0.516297,0.8175,0.646082
12,0.03848,0.508992,0.8185,0.650324
13,0.039435,0.503574,0.8215,0.657108
14,0.037184,0.511613,0.819,0.65689
15,0.03485,0.509087,0.816,0.658644
16,0.035429,0.513646,0.814,0.656687
17,0.031248,0.512151,0.815,0.664337
18,0.031891,0.504421,0.818,0.672633
19,0.030023,0.507973,0.8175,0.673431
20,0.029236,0.512546,0.817,0.674598
21,0.030071,0.509505,0.821,0.680456
22,0.026675,0.503832,0.818,0.680493
23,0.026406,0.501153,0.82,0.685923
24,0.024086,0.501144,0.82,0.691259
25,0.026368,0.497849,0.8205,0.692051
26,0.024745,0.494012,0.821,0.693136
27,0.024339,0.494105,0.8215,0.696363
28,0.024573,0.491357,0.8215,0.695
29,0.020109,0.492767,0.825,0.70588
30,0.022587,0.49334,0.825,0.707228
31,0.026435,0.479969,0.8245,0.708519
32,0.024782,0.48344,0.8245,0.708606
33,0.019206,0.48427,0.825,0.707927
34,0.021208,0.486377,0.8245,0.711077
35,0.020136,0.480979,0.8275,0.717804
36,0.026156,0.47065,0.828,0.715768
37,0.017353,0.469069,0.829,0.723068
38,0.026583,0.462929,0.83,0.727488
39,0.023747,0.488479,0.8225,0.712518
40,0.020838,0.47179,0.8255,0.720197
41,0.016541,0.467134,0.827,0.723517
42,0.023389,0.454327,0.8315,0.734478
43,0.021366,0.457946,0.832,0.736757
44,0.022415,0.458345,0.83,0.735694
45,0.025143,0.474369,0.8285,0.729596
46,0.021811,0.4879,0.8245,0.717974
47,0.02068,0.48484,0.8255,0.725329
48,0.021806,0.484243,0.8255,0.725313
49,0.025951,0.470282,0.828,0.739562
50,0.016639,0.479433,0.826,0.735502
51,0.018996,0.473155,0.8275,0.7358
52,0.020648,0.460625,0.8285,0.740422
53,0.02242,0.489356,0.8245,0.729199
54,0.023037,0.481943,0.8245,0.73074
55,0.015813,0.479606,0.8255,0.736285
56,0.021374,0.454879,0.8265,0.738867
57,0.026542,0.470326,0.827,0.73312
58,0.02394,0.481307,0.823,0.723494
59,0.027169,0.467553,0.8275,0.730597
60,0.023174,0.477286,0.828,0.731288
61,0.005006,0.467209,0.829,0.737253
62,0.027433,0.478454,0.8255,0.722558
63,0.014032,0.460754,0.8305,0.738165
64,0.009712,0.446994,0.832,0.745801
65,0.024464,0.461878,0.8295,0.742599
66,0.02312,0.460929,0.829,0.739656
67,0.025366,0.498206,0.824,0.717331
68,0.014551,0.466133,0.826,0.729801
69,0.011751,0.453564,0.829,0.737204
70,0.026388,0.442522,0.832,0.740651
71,0.00285,0.4382,0.834,0.743669
72,0.00294,0.433072,0.8385,0.756571
73,0.003036,0.428714,0.842,0.765235
74,0.003129,0.427957,0.8395,0.763779
75,0.003266,0.428074,0.8395,0.764571
76,0.003253,0.427341,0.8395,0.764571
77,0.003505,0.427073,0.8395,0.764571
78,0.021902,0.431974,0.84,0.767133
79,0.014763,0.42331,0.84,0.769078
80,0.003243,0.4256,0.842,0.771095
81,0.003775,0.425721,0.8405,0.7704
82,0.00385,0.427649,0.8405,0.7704
83,0.004922,0.434597,0.8375,0.765859
84,0.004376,0.434704,0.8365,0.764028
85,0.022228,0.415435,0.8445,0.77863
86,0.020822,0.443042,0.8355,0.753576
87,0.002791,0.428701,0.841,0.766131
88,0.003216,0.419673,0.842,0.772364
89,0.003456,0.417775,0.841,0.773739
90,0.003477,0.419937,0.839,0.770552
91,0.003967,0.424169,0.839,0.769324
92,0.020734,0.428471,0.8385,0.769504
93,0.003172,0.421073,0.84,0.772928
94,0.003031,0.422224,0.84,0.772918
95,0.003031,0.423784,0.84,0.772768
96,0.003044,0.423797,0.8395,0.772291
97,0.003158,0.424304,0.8385,0.771386
98,0.003155,0.423724,0.839,0.771758
99,0.003348,0.421413,0.84,0.774118
100,0.003331,0.422346,0.8405,0.77564
