round,train_loss,val_loss,val_acc,val_f1
1,0.623152,0.884317,0.691846,0.454596
2,0.494267,0.794105,0.730365,0.518375
3,0.465287,0.761062,0.728864,0.531193
4,0.448905,0.729082,0.738369,0.581798
5,0.437391,0.704727,0.752376,0.627333
6,0.428831,0.685031,0.76038,0.653361
7,0.422217,0.668323,0.76088,0.660905
8,0.416974,0.655458,0.761381,0.667398
9,0.412649,0.645384,0.758879,0.668378
10,0.408981,0.637126,0.756378,0.668088
11,0.405827,0.631429,0.752876,0.66501
12,0.40307,0.626919,0.753377,0.669147
13,0.400638,0.623733,0.751376,0.667398
14,0.398471,0.62202,0.748874,0.665808
15,0.39652,0.620332,0.746873,0.665398
16,0.394785,0.618559,0.745373,0.666281
17,0.39321,0.617261,0.743872,0.665757
