round,train_loss,val_loss,val_acc,val_f1
1,0.43124,0.572473,0.773,0.595613
2,0.132623,0.419597,0.8375,0.769124
3,0.083134,0.377073,0.8765,0.843207
4,0.062885,0.370736,0.8845,0.856795
5,0.050063,0.381074,0.883,0.856563
6,0.041792,0.396827,0.8805,0.854716
7,0.036615,0.413846,0.8795,0.855188
8,0.033652,0.435796,0.875,0.850272
9,0.030874,0.444697,0.8705,0.846613
10,0.023856,0.462933,0.866,0.841845
11,0.026787,0.484735,0.867,0.843576
12,0.024492,0.484163,0.865,0.841347
13,0.024077,0.480885,0.8675,0.843976
14,0.018376,0.503833,0.8645,0.840991
15,0.016494,0.515226,0.862,0.838569
16,0.016347,0.52062,0.8625,0.839483
17,0.017239,0.526355,0.8635,0.840078
18,0.013652,0.537094,0.863,0.840267
19,0.014128,0.541515,0.862,0.839333
