round,train_loss,val_loss,val_acc,val_f1
1,0.441329,0.649535,0.755374,0.56115
2,0.141429,0.590269,0.800409,0.686536
3,0.085263,0.502001,0.835722,0.763749
4,0.063489,0.459373,0.85261,0.797772
5,0.051009,0.43543,0.862334,0.816417
6,0.044418,0.432222,0.868987,0.828692
7,0.038912,0.432001,0.871546,0.833743
8,0.035203,0.425164,0.876151,0.841484
9,0.03474,0.423501,0.873593,0.840635
10,0.029769,0.425763,0.87001,0.8366
11,0.027668,0.425223,0.87001,0.838424
12,0.027513,0.420678,0.873593,0.844361
13,0.025806,0.413489,0.874616,0.84665
14,0.025467,0.419584,0.87564,0.848367
15,0.021508,0.411261,0.87871,0.853055
16,0.021375,0.427683,0.876663,0.851624
17,0.018234,0.428838,0.876663,0.852498
18,0.025934,0.446208,0.876663,0.85314
19,0.026938,0.453546,0.875128,0.852094
20,0.018179,0.43879,0.876151,0.853625
21,0.024317,0.446505,0.875128,0.852738
22,0.01442,0.443352,0.87564,0.853563
23,0.030667,0.464631,0.87564,0.855239
24,0.014262,0.452508,0.877175,0.856653
25,0.015042,0.447145,0.879222,0.859549
26,0.010687,0.448557,0.87871,0.858811
27,0.015003,0.444204,0.878199,0.857917
28,0.017612,0.413963,0.882805,0.865686
29,0.020708,0.468724,0.877175,0.856517
30,0.020076,0.45345,0.877175,0.857154
31,0.025225,0.473059,0.877687,0.857344
32,0.020851,0.46044,0.876151,0.856017
33,0.013111,0.452015,0.87871,0.859723
34,0.012998,0.457557,0.878199,0.859649
35,0.010212,0.458969,0.879734,0.86171
36,0.016959,0.477457,0.878199,0.859032
37,0.013235,0.478794,0.877687,0.859455
38,0.018379,0.484232,0.877687,0.85859
39,0.02079,0.46299,0.880246,0.862132
40,0.011442,0.458639,0.882293,0.864746
41,0.018433,0.47244,0.880757,0.862341
42,0.009447,0.458989,0.880757,0.863273
43,0.010048,0.454513,0.882293,0.86543
